Plate,Sample_name,primer,NWFSCsampleID,dilution,techRep,SampleUID,PlateNo
326,MV1-52193-1411-d5-1_S71,MV1,52193-1411,d5,1,MV1-52193-1411-d5-1_S71_326,2.2
327,MV1-52193-1411-d5-2_S71,MV1,52193-1411,d5,2,MV1-52193-1411-d5-2_S71_327,2.2
315,MFU-52193-1421-d1-1_S60,MFU,52193-1421,d1,1,MFU-52193-1421-d1-1_S60_315,2.3
328,MV1-52193-1421-d1-1_S88,MV1,52193-1421,d1,1,MV1-52193-1421-d1-1_S88_328,2.3
304,MFU-52193-1423-d1-1_S197,MFU,52193-1423,d1,1,MFU-52193-1423-d1-1_S197_304,2
306,DL-52193-1423-d1-1,DL,52193-1423,d1,1,DL-52193-1423-d1-1_306,2
307,DL-52193-1423-d1-2,DL,52193-1423,d1,2,DL-52193-1423-d1-2_307,2
308,DL-52193-1423-d1-3,DL,52193-1423,d1,3,DL-52193-1423-d1-3_308,2
320,MV1-52193-1423-d1-1_S5,MV1,52193-1423,d1,1,MV1-52193-1423-d1-1_S5_320,2
306,DL-52193-1433-d1-1,DL,52193-1433,d1,1,DL-52193-1433-d1-1_306,2
307,DL-52193-1433-d1-2,DL,52193-1433,d1,2,DL-52193-1433-d1-2_307,2
308,DL-52193-1433-d1-3,DL,52193-1433,d1,3,DL-52193-1433-d1-3_308,2
320,MV1-52193-1433-d20-1_S87,MV1,52193-1433,d20,1,MV1-52193-1433-d20-1_S87_320,2
304,MFU-52193-1436-d1-1_S199,MFU,52193-1436,d1,1,MFU-52193-1436-d1-1_S199_304,2
306,DL-52193-1436-d1-1,DL,52193-1436,d1,1,DL-52193-1436-d1-1_306,2
307,DL-52193-1436-d1-2,DL,52193-1436,d1,2,DL-52193-1436-d1-2_307,2
308,DL-52193-1436-d1-3,DL,52193-1436,d1,3,DL-52193-1436-d1-3_308,2
320,MV1-52193-1436-d1-1_S6,MV1,52193-1436,d1,1,MV1-52193-1436-d1-1_S6_320,2
304,MFU-52193-1445-d1-1_S200,MFU,52193-1445,d1,1,MFU-52193-1445-d1-1_S200_304,2
306,DL-52193-1445-d1-1,DL,52193-1445,d1,1,DL-52193-1445-d1-1_306,2
307,DL-52193-1445-d1-2,DL,52193-1445,d1,2,DL-52193-1445-d1-2_307,2
308,DL-52193-1445-d1-3,DL,52193-1445,d1,3,DL-52193-1445-d1-3_308,2
320,MV1-52193-1445-d1-1_S7,MV1,52193-1445,d1,1,MV1-52193-1445-d1-1_S7_320,2
304,MFU-52193-1447-d5-1_S201,MFU,52193-1447,d5,1,MFU-52193-1447-d5-1_S201_304,2
306,DL-52193-1447-d5-1,DL,52193-1447,d5,1,DL-52193-1447-d5-1_306,2
307,DL-52193-1447-d5-2,DL,52193-1447,d5,2,DL-52193-1447-d5-2_307,2
308,DL-52193-1447-d5-3,DL,52193-1447,d5,3,DL-52193-1447-d5-3_308,2
320,MV1-52193-1447-d5-1_S8,MV1,52193-1447,d5,1,MV1-52193-1447-d5-1_S8_320,2
313,MFU-52193-1449-d1-1_S71,MFU,52193-1449,d1,1,MFU-52193-1449-d1-1_S71_313,2.1
323,MV1-52193-1449-d1-1_S52,MV1,52193-1449,d1,1,MV1-52193-1449-d1-1_S52_323,2.1
324,MV1-52193-1449-d1-2_S71,MV1,52193-1449,d1,2,MV1-52193-1449-d1-2_S71_324,2.1
325,MV1-52193-1449-d1-3_S71,MV1,52193-1449,d1,3,MV1-52193-1449-d1-3_S71_325,2.1
315,MFU-52193-1451-d1-1_S25,MFU,52193-1451,d1,1,MFU-52193-1451-d1-1_S25_315,2.3
328,MV1-52193-1451-d1-1_S33,MV1,52193-1451,d1,1,MV1-52193-1451-d1-1_S33_328,2.3
313,MFU-52193-1453-d1-1_S83,MFU,52193-1453,d1,1,MFU-52193-1453-d1-1_S83_313,2.1
323,MV1-52193-1453-d1-1_S63,MV1,52193-1453,d1,1,MV1-52193-1453-d1-1_S63_323,2.1
324,MV1-52193-1453-d10-2_S83,MV1,52193-1453,d10,2,MV1-52193-1453-d10-2_S83_324,2.1
325,MV1-52193-1453-d10-3_S83,MV1,52193-1453,d10,3,MV1-52193-1453-d10-3_S83_325,2.1
304,MFU-52193-1457-d5-1_S202,MFU,52193-1457,d5,1,MFU-52193-1457-d5-1_S202_304,2
306,DL-52193-1457-d5-1,DL,52193-1457,d5,1,DL-52193-1457-d5-1_306,2
307,DL-52193-1457-d5-2,DL,52193-1457,d5,2,DL-52193-1457-d5-2_307,2
308,DL-52193-1457-d5-3,DL,52193-1457,d5,3,DL-52193-1457-d5-3_308,2
320,MV1-52193-1457-d5-1_S9,MV1,52193-1457,d5,1,MV1-52193-1457-d5-1_S9_320,2
306,DL-52193-1460-d1-1,DL,52193-1460,d1,1,DL-52193-1460-d1-1_306,2
307,DL-52193-1460-d1-2,DL,52193-1460,d1,2,DL-52193-1460-d1-2_307,2
308,DL-52193-1460-d1-3,DL,52193-1460,d1,3,DL-52193-1460-d1-3_308,2
320,MV1-52193-1460-d1-1_S10,MV1,52193-1460,d1,1,MV1-52193-1460-d1-1_S10_320,2
314,MFU-52193-1462-d1-1_S42,MFU,52193-1462,d1,1,MFU-52193-1462-d1-1_S42_314,2.2
326,MV1-52193-1462-d1-1_S53,MV1,52193-1462,d1,1,MV1-52193-1462-d1-1_S53_326,2.2
327,MV1-52193-1462-d1-2_S53,MV1,52193-1462,d1,2,MV1-52193-1462-d1-2_S53_327,2.2
314,MFU-52193-1464-d1-1_S6,MFU,52193-1464,d1,1,MFU-52193-1464-d1-1_S6_314,2.2
326,MV1-52193-1464-d1-1_S7,MV1,52193-1464,d1,1,MV1-52193-1464-d1-1_S7_326,2.2
327,MV1-52193-1464-d1-2_S7,MV1,52193-1464,d1,2,MV1-52193-1464-d1-2_S7_327,2.2
314,MFU-52193-1466-d1-1_S12,MFU,52193-1466,d1,1,MFU-52193-1466-d1-1_S12_314,2.2
326,MV1-52193-1466-d1-1_S15,MV1,52193-1466,d1,1,MV1-52193-1466-d1-1_S15_326,2.2
327,MV1-52193-1466-d1-2_S15,MV1,52193-1466,d1,2,MV1-52193-1466-d1-2_S15_327,2.2
304,MFU-52193-1470-d1-1_S204,MFU,52193-1470,d1,1,MFU-52193-1470-d1-1_S204_304,2
306,DL-52193-1470-d1-1,DL,52193-1470,d1,1,DL-52193-1470-d1-1_306,2
307,DL-52193-1470-d1-2,DL,52193-1470,d1,2,DL-52193-1470-d1-2_307,2
308,DL-52193-1470-d1-3,DL,52193-1470,d1,3,DL-52193-1470-d1-3_308,2
320,MV1-52193-1470-d1-1_S11,MV1,52193-1470,d1,1,MV1-52193-1470-d1-1_S11_320,2
304,MFU-52193-1472-d5-1_S206,MFU,52193-1472,d5,1,MFU-52193-1472-d5-1_S206_304,2
306,DL-52193-1472-d1-1,DL,52193-1472,d1,1,DL-52193-1472-d1-1_306,2
307,DL-52193-1472-d1-2,DL,52193-1472,d1,2,DL-52193-1472-d1-2_307,2
308,DL-52193-1472-d1-3,DL,52193-1472,d1,3,DL-52193-1472-d1-3_308,2
320,MV1-52193-1472-d1-1_S12,MV1,52193-1472,d1,1,MV1-52193-1472-d1-1_S12_320,2
313,MFU-52193-1474-d1-1_S80,MFU,52193-1474,d1,1,MFU-52193-1474-d1-1_S80_313,2.1
323,MV1-52193-1474-d1-1_S60,MV1,52193-1474,d1,1,MV1-52193-1474-d1-1_S60_323,2.1
324,MV1-52193-1474-d10-2_S80,MV1,52193-1474,d10,2,MV1-52193-1474-d10-2_S80_324,2.1
325,MV1-52193-1474-d10-3_S80,MV1,52193-1474,d10,3,MV1-52193-1474-d10-3_S80_325,2.1
317,MFU-52193-1476-d1-1_S4,MFU,52193-1476,d1,1,MFU-52193-1476-d1-1_S4_317,2.5
330,MV1-52193-1476-d1-1_S4,MV1,52193-1476,d1,1,MV1-52193-1476-d1-1_S4_330,2.5
316,MFU-52193-1478-d1-1_S59,MFU,52193-1478,d1,1,MFU-52193-1478-d1-1_S59_316,2.4
329,MV1-52193-1478-d1-1_S91,MV1,52193-1478,d1,1,MV1-52193-1478-d1-1_S91_329,2.4
315,MFU-52193-148-d1-1_S18,MFU,52193-148,d1,1,MFU-52193-148-d1-1_S18_315,2.3
328,MV1-52193-148-d1-1_S24,MV1,52193-148,d1,1,MV1-52193-148-d1-1_S24_328,2.3
304,MFU-52193-1482-d1-1_S207,MFU,52193-1482,d1,1,MFU-52193-1482-d1-1_S207_304,2
306,DL-52193-1482-d1-1,DL,52193-1482,d1,1,DL-52193-1482-d1-1_306,2
307,DL-52193-1482-d1-2,DL,52193-1482,d1,2,DL-52193-1482-d1-2_307,2
308,DL-52193-1482-d1-3,DL,52193-1482,d1,3,DL-52193-1482-d1-3_308,2
320,MV1-52193-1482-d10-1_S14,MV1,52193-1482,d10,1,MV1-52193-1482-d10-1_S14_320,2
304,MFU-52193-1485-d5-1_S209,MFU,52193-1485,d5,1,MFU-52193-1485-d5-1_S209_304,2
306,DL-52193-1485-d1-1,DL,52193-1485,d1,1,DL-52193-1485-d1-1_306,2
307,DL-52193-1485-d1-2,DL,52193-1485,d1,2,DL-52193-1485-d1-2_307,2
308,DL-52193-1485-d1-3,DL,52193-1485,d1,3,DL-52193-1485-d1-3_308,2
320,MV1-52193-1485-d50-1_S16,MV1,52193-1485,d50,1,MV1-52193-1485-d50-1_S16_320,2
317,MFU-52193-1487-d1-1_S41,MFU,52193-1487,d1,1,MFU-52193-1487-d1-1_S41_317,2.5
330,MV1-52193-1487-d1-1_S56,MV1,52193-1487,d1,1,MV1-52193-1487-d1-1_S56_330,2.5
315,MFU-52193-1489-d1-1_S6,MFU,52193-1489,d1,1,MFU-52193-1489-d1-1_S6_315,2.3
328,MV1-52193-1489-d1-1_S6,MV1,52193-1489,d1,1,MV1-52193-1489-d1-1_S6_328,2.3
314,MFU-52193-1491-d1-1_S18,MFU,52193-1491,d1,1,MFU-52193-1491-d1-1_S18_314,2.2
326,MV1-52193-1491-d1-1_S23,MV1,52193-1491,d1,1,MV1-52193-1491-d1-1_S23_326,2.2
327,MV1-52193-1491-d1-2_S23,MV1,52193-1491,d1,2,MV1-52193-1491-d1-2_S23_327,2.2
304,MFU-52193-1495-d1-1_S210,MFU,52193-1495,d1,1,MFU-52193-1495-d1-1_S210_304,2
306,DL-52193-1495-d1-1,DL,52193-1495,d1,1,DL-52193-1495-d1-1_306,2
307,DL-52193-1495-d1-2,DL,52193-1495,d1,2,DL-52193-1495-d1-2_307,2
308,DL-52193-1495-d1-3,DL,52193-1495,d1,3,DL-52193-1495-d1-3_308,2
320,MV1-52193-1495-d10-1_S17,MV1,52193-1495,d10,1,MV1-52193-1495-d10-1_S17_320,2
315,MFU-52193-1497-d10-1_S71,MFU,52193-1497,d10,1,MFU-52193-1497-d10-1_S71_315,2.3
328,MV1-52193-1497-d10-1_S31,MV1,52193-1497,d10,1,MV1-52193-1497-d10-1_S31_328,2.3
315,MFU-52193-1499-d1-1_S62,MFU,52193-1499,d1,1,MFU-52193-1499-d1-1_S62_315,2.3
328,MV1-52193-1499-d1-1_S90,MV1,52193-1499,d1,1,MV1-52193-1499-d1-1_S90_328,2.3
313,MFU-52193-150-d5-1_S86,MFU,52193-150,d5,1,MFU-52193-150-d5-1_S86_313,2.1
323,MV1-52193-150-d50-1_S104,MV1,52193-150,d50,1,MV1-52193-150-d50-1_S104_323,2.1
324,MV1-52193-150-d50-2_S86,MV1,52193-150,d50,2,MV1-52193-150-d50-2_S86_324,2.1
325,MV1-52193-150-d50-3_S86,MV1,52193-150,d50,3,MV1-52193-150-d50-3_S86_325,2.1
313,MFU-52193-1501-d1-1_S13,MFU,52193-1501,d1,1,MFU-52193-1501-d1-1_S13_313,2.1
323,MV1-52193-1501-d1-1_S8,MV1,52193-1501,d1,1,MV1-52193-1501-d1-1_S8_323,2.1
324,MV1-52193-1501-d10-2_S13,MV1,52193-1501,d10,2,MV1-52193-1501-d10-2_S13_324,2.1
325,MV1-52193-1501-d10-3_S13,MV1,52193-1501,d10,3,MV1-52193-1501-d10-3_S13_325,2.1
315,MFU-52193-1503-d1-1_S32,MFU,52193-1503,d1,1,MFU-52193-1503-d1-1_S32_315,2.3
328,MV1-52193-1503-d1-1_S46,MV1,52193-1503,d1,1,MV1-52193-1503-d1-1_S46_328,2.3
316,MFU-52193-1507-d1-1_S21,MFU,52193-1507,d1,1,MFU-52193-1507-d1-1_S21_316,2.4
329,MV1-52193-1507-d1-1_S35,MV1,52193-1507,d1,1,MV1-52193-1507-d1-1_S35_329,2.4
304,MFU-52193-1510-d5-1_S212,MFU,52193-1510,d5,1,MFU-52193-1510-d5-1_S212_304,2
306,DL-52193-1510-d1-1,DL,52193-1510,d1,1,DL-52193-1510-d1-1_306,2
307,DL-52193-1510-d1-2,DL,52193-1510,d1,2,DL-52193-1510-d1-2_307,2
308,DL-52193-1510-d1-3,DL,52193-1510,d1,3,DL-52193-1510-d1-3_308,2
320,MV1-52193-1510-d5-1_S18,MV1,52193-1510,d5,1,MV1-52193-1510-d5-1_S18_320,2
304,MFU-52193-1517-d1-1_S213,MFU,52193-1517,d1,1,MFU-52193-1517-d1-1_S213_304,2
306,DL-52193-1517-d1-1,DL,52193-1517,d1,1,DL-52193-1517-d1-1_306,2
307,DL-52193-1517-d1-2,DL,52193-1517,d1,2,DL-52193-1517-d1-2_307,2
308,DL-52193-1517-d1-3,DL,52193-1517,d1,3,DL-52193-1517-d1-3_308,2
320,MV1-52193-1517-d1-1_S19,MV1,52193-1517,d1,1,MV1-52193-1517-d1-1_S19_320,2
304,MFU-52193-1519-d5-1_S214,MFU,52193-1519,d5,1,MFU-52193-1519-d5-1_S214_304,2
306,DL-52193-1519-d5-1,DL,52193-1519,d5,1,DL-52193-1519-d5-1_306,2
307,DL-52193-1519-d5-2,DL,52193-1519,d5,2,DL-52193-1519-d5-2_307,2
308,DL-52193-1519-d5-3,DL,52193-1519,d5,3,DL-52193-1519-d5-3_308,2
320,MV1-52193-1519-d5-1_S20,MV1,52193-1519,d5,1,MV1-52193-1519-d5-1_S20_320,2
317,MFU-52193-152-d1-1_S32,MFU,52193-152,d1,1,MFU-52193-152-d1-1_S32_317,2.5
330,MV1-52193-152-d1-1_S45,MV1,52193-152,d1,1,MV1-52193-152-d1-1_S45_330,2.5
304,MFU-52193-1525-d1-1_S215,MFU,52193-1525,d1,1,MFU-52193-1525-d1-1_S215_304,2
306,DL-52193-1525-d1-1,DL,52193-1525,d1,1,DL-52193-1525-d1-1_306,2
307,DL-52193-1525-d1-2,DL,52193-1525,d1,2,DL-52193-1525-d1-2_307,2
308,DL-52193-1525-d1-3,DL,52193-1525,d1,3,DL-52193-1525-d1-3_308,2
308,DL-52193-1525-d1-4,DL,52193-1525,d1,4,DL-52193-1525-d1-4_308,2
308,DL-52193-1525-d1-5,DL,52193-1525,d1,5,DL-52193-1525-d1-5_308,2
320,MV1-52193-1525-d10-1_S21,MV1,52193-1525,d10,1,MV1-52193-1525-d10-1_S21_320,2
304,MFU-52193-1528-d5-1_S216,MFU,52193-1528,d5,1,MFU-52193-1528-d5-1_S216_304,2
306,DL-52193-1528-d5-1,DL,52193-1528,d5,1,DL-52193-1528-d5-1_306,2
307,DL-52193-1528-d5-2,DL,52193-1528,d5,2,DL-52193-1528-d5-2_307,2
308,DL-52193-1528-d5-3,DL,52193-1528,d5,3,DL-52193-1528-d5-3_308,2
320,MV1-52193-1528-d5-1_S22,MV1,52193-1528,d5,1,MV1-52193-1528-d5-1_S22_320,2
304,MFU-52193-1530-d1-1_S217,MFU,52193-1530,d1,1,MFU-52193-1530-d1-1_S217_304,2
306,DL-52193-1530-d1-1,DL,52193-1530,d1,1,DL-52193-1530-d1-1_306,2
307,DL-52193-1530-d1-2,DL,52193-1530,d1,2,DL-52193-1530-d1-2_307,2
308,DL-52193-1530-d1-3,DL,52193-1530,d1,3,DL-52193-1530-d1-3_308,2
320,MV1-52193-1530-d1-1_S23,MV1,52193-1530,d1,1,MV1-52193-1530-d1-1_S23_320,2
306,DL-52193-1536-d1-1,DL,52193-1536,d1,1,DL-52193-1536-d1-1_306,2
307,DL-52193-1536-d1-2,DL,52193-1536,d1,2,DL-52193-1536-d1-2_307,2
308,DL-52193-1536-d1-3,DL,52193-1536,d1,3,DL-52193-1536-d1-3_308,2
318,MFU-52193-1536-d10-1_S31,MFU,52193-1536,d10,1,MFU-52193-1536-d10-1_S31_318,2
320,MV1-52193-1536-d20-1_S88,MV1,52193-1536,d20,1,MV1-52193-1536-d20-1_S88_320,2
304,MFU-52193-1538-d1-1_S220,MFU,52193-1538,d1,1,MFU-52193-1538-d1-1_S220_304,2
306,DL-52193-1538-d1-1,DL,52193-1538,d1,1,DL-52193-1538-d1-1_306,2
307,DL-52193-1538-d1-2,DL,52193-1538,d1,2,DL-52193-1538-d1-2_307,2
308,DL-52193-1538-d1-3,DL,52193-1538,d1,3,DL-52193-1538-d1-3_308,2
320,MV1-52193-1538-d20-1_S89,MV1,52193-1538,d20,1,MV1-52193-1538-d20-1_S89_320,2
315,MFU-52193-154-d1-1_S59,MFU,52193-154,d1,1,MFU-52193-154-d1-1_S59_315,2.3
328,MV1-52193-154-d1-1_S87,MV1,52193-154,d1,1,MV1-52193-154-d1-1_S87_328,2.3
304,MFU-52193-1542-d1-1_S221,MFU,52193-1542,d1,1,MFU-52193-1542-d1-1_S221_304,2
306,DL-52193-1542-d1-1,DL,52193-1542,d1,1,DL-52193-1542-d1-1_306,2
307,DL-52193-1542-d1-2,DL,52193-1542,d1,2,DL-52193-1542-d1-2_307,2
308,DL-52193-1542-d1-3,DL,52193-1542,d1,3,DL-52193-1542-d1-3_308,2
320,MV1-52193-1542-d10-1_S24,MV1,52193-1542,d10,1,MV1-52193-1542-d10-1_S24_320,2
304,MFU-52193-1547-d1-1_S223,MFU,52193-1547,d1,1,MFU-52193-1547-d1-1_S223_304,2
306,DL-52193-1547-d1-1,DL,52193-1547,d1,1,DL-52193-1547-d1-1_306,2
307,DL-52193-1547-d1-2,DL,52193-1547,d1,2,DL-52193-1547-d1-2_307,2
308,DL-52193-1547-d1-3,DL,52193-1547,d1,3,DL-52193-1547-d1-3_308,2
320,MV1-52193-1547-d10-1_S26,MV1,52193-1547,d10,1,MV1-52193-1547-d10-1_S26_320,2
315,MFU-52193-1549-d10-1_S77,MFU,52193-1549,d10,1,MFU-52193-1549-d10-1_S77_315,2.3
328,MV1-52193-1549-d10-1_S45,MV1,52193-1549,d10,1,MV1-52193-1549-d10-1_S45_328,2.3
315,MFU-52193-1551-d1-1_S7,MFU,52193-1551,d1,1,MFU-52193-1551-d1-1_S7_315,2.3
328,MV1-52193-1551-d1-1_S7,MV1,52193-1551,d1,1,MV1-52193-1551-d1-1_S7_328,2.3
315,MFU-52193-1553-d1-1_S43,MFU,52193-1553,d1,1,MFU-52193-1553-d1-1_S43_315,2.3
328,MV1-52193-1553-d1-1_S61,MV1,52193-1553,d1,1,MV1-52193-1553-d1-1_S61_328,2.3
313,MFU-52193-1555-d1-1_S42,MFU,52193-1555,d1,1,MFU-52193-1555-d1-1_S42_313,2.1
323,MV1-52193-1555-d10-1_S95,MV1,52193-1555,d10,1,MV1-52193-1555-d10-1_S95_323,2.1
324,MV1-52193-1555-d10-2_S42,MV1,52193-1555,d10,2,MV1-52193-1555-d10-2_S42_324,2.1
325,MV1-52193-1555-d10-3_S42,MV1,52193-1555,d10,3,MV1-52193-1555-d10-3_S42_325,2.1
314,MFU-52193-1559-d1-1_S37,MFU,52193-1559,d1,1,MFU-52193-1559-d1-1_S37_314,2.2
327,MV1-52193-1559-d10-1_S108,MV1,52193-1559,d10,1,MV1-52193-1559-d10-1_S108_327,2.2
327,MV1-52193-1559-d1-2_S46,MV1,52193-1559,d1,2,MV1-52193-1559-d1-2_S46_327,2.2
313,MFU-52193-156-d1-1_S56,MFU,52193-156,d1,1,MFU-52193-156-d1-1_S56_313,2.1
323,MV1-52193-156-d1-1_S42,MV1,52193-156,d1,1,MV1-52193-156-d1-1_S42_323,2.1
324,MV1-52193-156-d1-2_S56,MV1,52193-156,d1,2,MV1-52193-156-d1-2_S56_324,2.1
325,MV1-52193-156-d1-3_S56,MV1,52193-156,d1,3,MV1-52193-156-d1-3_S56_325,2.1
304,MFU-52193-1561-d5-1_S225,MFU,52193-1561,d5,1,MFU-52193-1561-d5-1_S225_304,2
306,DL-52193-1561-d1-1,DL,52193-1561,d1,1,DL-52193-1561-d1-1_306,2
307,DL-52193-1561-d1-2,DL,52193-1561,d1,2,DL-52193-1561-d1-2_307,2
308,DL-52193-1561-d1-3,DL,52193-1561,d1,3,DL-52193-1561-d1-3_308,2
320,MV1-52193-1561-d5-1_S28,MV1,52193-1561,d5,1,MV1-52193-1561-d5-1_S28_320,2
314,MFU-52193-1563-d1-1_S13,MFU,52193-1563,d1,1,MFU-52193-1563-d1-1_S13_314,2.2
326,MV1-52193-1563-d1-1_S17,MV1,52193-1563,d1,1,MV1-52193-1563-d1-1_S17_326,2.2
327,MV1-52193-1563-d1-2_S17,MV1,52193-1563,d1,2,MV1-52193-1563-d1-2_S17_327,2.2
317,MFU-52193-1565-d1-1_S24,MFU,52193-1565,d1,1,MFU-52193-1565-d1-1_S24_317,2.5
330,MV1-52193-1565-d1-1_S27,MV1,52193-1565,d1,1,MV1-52193-1565-d1-1_S27_330,2.5
316,MFU-52193-1568-d1-1_S50,MFU,52193-1568,d1,1,MFU-52193-1568-d1-1_S50_316,2.4
329,MV1-52193-1568-d1-1_S79,MV1,52193-1568,d1,1,MV1-52193-1568-d1-1_S79_329,2.4
304,MFU-52193-1571-d1-1_S226,MFU,52193-1571,d1,1,MFU-52193-1571-d1-1_S226_304,2
306,DL-52193-1571-d1-1,DL,52193-1571,d1,1,DL-52193-1571-d1-1_306,2
307,DL-52193-1571-d1-2,DL,52193-1571,d1,2,DL-52193-1571-d1-2_307,2
308,DL-52193-1571-d1-3,DL,52193-1571,d1,3,DL-52193-1571-d1-3_308,2
320,MV1-52193-1571-d1-1_S29,MV1,52193-1571,d1,1,MV1-52193-1571-d1-1_S29_320,2
306,DL-52193-1573-d1-1,DL,52193-1573,d1,1,DL-52193-1573-d1-1_306,2
307,DL-52193-1573-d1-2,DL,52193-1573,d1,2,DL-52193-1573-d1-2_307,2
308,DL-52193-1573-d1-3,DL,52193-1573,d1,3,DL-52193-1573-d1-3_308,2
318,MFU-52193-1573-d10-1_S35,MFU,52193-1573,d10,1,MFU-52193-1573-d10-1_S35_318,2
320,MV1-52193-1573-d10-1_S30,MV1,52193-1573,d10,1,MV1-52193-1573-d10-1_S30_320,2
313,MFU-52193-1575-d1-1_S21,MFU,52193-1575,d1,1,MFU-52193-1575-d1-1_S21_313,2.1
323,MV1-52193-1575-d1-1_S15,MV1,52193-1575,d1,1,MV1-52193-1575-d1-1_S15_323,2.1
324,MV1-52193-1575-d10-2_S21,MV1,52193-1575,d10,2,MV1-52193-1575-d10-2_S21_324,2.1
325,MV1-52193-1575-d10-3_S21,MV1,52193-1575,d10,3,MV1-52193-1575-d10-3_S21_325,2.1
314,MFU-52193-1577-d1-1_S51,MFU,52193-1577,d1,1,MFU-52193-1577-d1-1_S51_314,2.2
326,MV1-52193-1577-d1-1_S63,MV1,52193-1577,d1,1,MV1-52193-1577-d1-1_S63_326,2.2
327,MV1-52193-1577-d1-2_S63,MV1,52193-1577,d1,2,MV1-52193-1577-d1-2_S63_327,2.2
315,MFU-52193-1579-d1-1_S44,MFU,52193-1579,d1,1,MFU-52193-1579-d1-1_S44_315,2.3
328,MV1-52193-1579-d1-1_S64,MV1,52193-1579,d1,1,MV1-52193-1579-d1-1_S64_328,2.3
304,MFU-52193-1583-d1-1_S228,MFU,52193-1583,d1,1,MFU-52193-1583-d1-1_S228_304,2
306,DL-52193-1583-d1-1,DL,52193-1583,d1,1,DL-52193-1583-d1-1_306,2
307,DL-52193-1583-d1-2,DL,52193-1583,d1,2,DL-52193-1583-d1-2_307,2
308,DL-52193-1583-d1-3,DL,52193-1583,d1,3,DL-52193-1583-d1-3_308,2
320,MV1-52193-1583-d10-1_S31,MV1,52193-1583,d10,1,MV1-52193-1583-d10-1_S31_320,2
304,MFU-52193-1585-d1-1_S229,MFU,52193-1585,d1,1,MFU-52193-1585-d1-1_S229_304,2
306,DL-52193-1585-d1-1,DL,52193-1585,d1,1,DL-52193-1585-d1-1_306,2
307,DL-52193-1585-d1-2,DL,52193-1585,d1,2,DL-52193-1585-d1-2_307,2
308,DL-52193-1585-d1-3,DL,52193-1585,d1,3,DL-52193-1585-d1-3_308,2
320,MV1-52193-1585-d1-1_S32,MV1,52193-1585,d1,1,MV1-52193-1585-d1-1_S32_320,2
314,MFU-52193-1587-d1-1_S14,MFU,52193-1587,d1,1,MFU-52193-1587-d1-1_S14_314,2.2
326,MV1-52193-1587-d1-1_S18,MV1,52193-1587,d1,1,MV1-52193-1587-d1-1_S18_326,2.2
327,MV1-52193-1587-d1-2_S18,MV1,52193-1587,d1,2,MV1-52193-1587-d1-2_S18_327,2.2
316,MFU-52193-1589-d10-1_S72,MFU,52193-1589,d10,1,MFU-52193-1589-d10-1_S72_316,2.4
329,MV1-52193-1589-d10-1_S36,MV1,52193-1589,d10,1,MV1-52193-1589-d10-1_S36_329,2.4
313,MFU-52193-1591-d1-1_S88,MFU,52193-1591,d1,1,MFU-52193-1591-d1-1_S88_313,2.1
323,MV1-52193-1591-d1-1_S65,MV1,52193-1591,d1,1,MV1-52193-1591-d1-1_S65_323,2.1
324,MV1-52193-1591-d1-2_S88,MV1,52193-1591,d1,2,MV1-52193-1591-d1-2_S88_324,2.1
325,MV1-52193-1591-d1-3_S88,MV1,52193-1591,d1,3,MV1-52193-1591-d1-3_S88_325,2.1
304,MFU-52193-1595-d1-1_S230,MFU,52193-1595,d1,1,MFU-52193-1595-d1-1_S230_304,2
306,DL-52193-1595-d1-1,DL,52193-1595,d1,1,DL-52193-1595-d1-1_306,2
307,DL-52193-1595-d1-2,DL,52193-1595,d1,2,DL-52193-1595-d1-2_307,2
308,DL-52193-1595-d1-3,DL,52193-1595,d1,3,DL-52193-1595-d1-3_308,2
320,MV1-52193-1595-d1-1_S33,MV1,52193-1595,d1,1,MV1-52193-1595-d1-1_S33_320,2
304,MFU-52193-1598-d1-1_S231,MFU,52193-1598,d1,1,MFU-52193-1598-d1-1_S231_304,2
306,DL-52193-1598-d1-1,DL,52193-1598,d1,1,DL-52193-1598-d1-1_306,2
307,DL-52193-1598-d1-2,DL,52193-1598,d1,2,DL-52193-1598-d1-2_307,2
308,DL-52193-1598-d1-3,DL,52193-1598,d1,3,DL-52193-1598-d1-3_308,2
320,MV1-52193-1598-d1-1_S34,MV1,52193-1598,d1,1,MV1-52193-1598-d1-1_S34_320,2
314,MFU-52193-160-d1-1_S35,MFU,52193-160,d1,1,MFU-52193-160-d1-1_S35_314,2.2
326,MV1-52193-160-d1-1_S44,MV1,52193-160,d1,1,MV1-52193-160-d1-1_S44_326,2.2
327,MV1-52193-160-d1-2_S44,MV1,52193-160,d1,2,MV1-52193-160-d1-2_S44_327,2.2
304,MFU-52193-1607-d1-1_S232,MFU,52193-1607,d1,1,MFU-52193-1607-d1-1_S232_304,2
306,DL-52193-1607-d1-1,DL,52193-1607,d1,1,DL-52193-1607-d1-1_306,2
307,DL-52193-1607-d1-2,DL,52193-1607,d1,2,DL-52193-1607-d1-2_307,2
308,DL-52193-1607-d1-3,DL,52193-1607,d1,3,DL-52193-1607-d1-3_308,2
320,MV1-52193-1607-d10-1_S35,MV1,52193-1607,d10,1,MV1-52193-1607-d10-1_S35_320,2
306,DL-52193-1611-d1-1,DL,52193-1611,d1,1,DL-52193-1611-d1-1_306,2
