Plate,Sample_name,primer,NWFSCsampleID,dilution,techRep,SampleUID,PlateNo
323,MV1-52193-1231-d1-1_S62,MV1,52193-1231,d1,1,MV1-52193-1231-d1-1_S62_323,2.1
324,MV1-52193-1231-d1-2_S82,MV1,52193-1231,d1,2,MV1-52193-1231-d1-2_S82_324,2.1
325,MV1-52193-1231-d1-3_S82,MV1,52193-1231,d1,3,MV1-52193-1231-d1-3_S82_325,2.1
314,MFU-52193-1233-d1-1_S28,MFU,52193-1233,d1,1,MFU-52193-1233-d1-1_S28_314,2.2
326,MV1-52193-1233-d1-1_S35,MV1,52193-1233,d1,1,MV1-52193-1233-d1-1_S35_326,2.2
327,MV1-52193-1233-d1-2_S35,MV1,52193-1233,d1,2,MV1-52193-1233-d1-2_S35_327,2.2
326,MV1-52193-1237-d10-1_S9,MV1,52193-1237,d10,1,MV1-52193-1237-d10-1_S9_326,2.2
327,MV1-52193-1237-d10-2_S9,MV1,52193-1237,d10,2,MV1-52193-1237-d10-2_S9_327,2.2
317,MFU-52193-1239-d5-1_S18,MFU,52193-1239,d5,1,MFU-52193-1239-d5-1_S18_317,2.5
330,MV1-52193-1239-d5-1_S21,MV1,52193-1239,d5,1,MV1-52193-1239-d5-1_S21_330,2.5
313,MFU-52193-124-d1-1_S55,MFU,52193-124,d1,1,MFU-52193-124-d1-1_S55_313,2.1
323,MV1-52193-124-d1-1_S41,MV1,52193-124,d1,1,MV1-52193-124-d1-1_S41_323,2.1
324,MV1-52193-124-d1-2_S55,MV1,52193-124,d1,2,MV1-52193-124-d1-2_S55_324,2.1
325,MV1-52193-124-d1-3_S55,MV1,52193-124,d1,3,MV1-52193-124-d1-3_S55_325,2.1
317,MFU-52193-1241-d1-1_S2,MFU,52193-1241,d1,1,MFU-52193-1241-d1-1_S2_317,2.5
330,MV1-52193-1241-d1-1_S2,MV1,52193-1241,d1,1,MV1-52193-1241-d1-1_S2_330,2.5
313,MFU-52193-1243-d1-1_S10,MFU,52193-1243,d1,1,MFU-52193-1243-d1-1_S10_313,2.1
323,MV1-52193-1243-d1-1_S6,MV1,52193-1243,d1,1,MV1-52193-1243-d1-1_S6_323,2.1
324,MV1-52193-1243-d1-2_S10,MV1,52193-1243,d1,2,MV1-52193-1243-d1-2_S10_324,2.1
325,MV1-52193-1243-d1-3_S10,MV1,52193-1243,d1,3,MV1-52193-1243-d1-3_S10_325,2.1
314,MFU-52193-1245-d10-1_S82,MFU,52193-1245,d10,1,MFU-52193-1245-d10-1_S82_314,2.2
326,MV1-52193-1245-d10-1_S52,MV1,52193-1245,d10,1,MV1-52193-1245-d10-1_S52_326,2.2
327,MV1-52193-1245-d10-2_S52,MV1,52193-1245,d10,2,MV1-52193-1245-d10-2_S52_327,2.2
314,MFU-52193-1249-d10-1_S90,MFU,52193-1249,d10,1,MFU-52193-1249-d10-1_S90_314,2.2
326,MV1-52193-1249-d10-1_S86,MV1,52193-1249,d10,1,MV1-52193-1249-d10-1_S86_326,2.2
327,MV1-52193-1249-d10-2_S86,MV1,52193-1249,d10,2,MV1-52193-1249-d10-2_S86_327,2.2
314,MFU-52193-1251-d5-1_S56,MFU,52193-1251,d5,1,MFU-52193-1251-d5-1_S56_314,2.2
326,MV1-52193-1251-d5-1_S69,MV1,52193-1251,d5,1,MV1-52193-1251-d5-1_S69_326,2.2
327,MV1-52193-1251-d5-2_S69,MV1,52193-1251,d5,2,MV1-52193-1251-d5-2_S69_327,2.2
313,MFU-52193-1253-d1-1_S81,MFU,52193-1253,d1,1,MFU-52193-1253-d1-1_S81_313,2.1
323,MV1-52193-1253-d1-1_S61,MV1,52193-1253,d1,1,MV1-52193-1253-d1-1_S61_323,2.1
324,MV1-52193-1253-d10-2_S81,MV1,52193-1253,d10,2,MV1-52193-1253-d10-2_S81_324,2.1
325,MV1-52193-1253-d10-3_S81,MV1,52193-1253,d10,3,MV1-52193-1253-d10-3_S81_325,2.1
317,MFU-52193-1255-d1-1_S17,MFU,52193-1255,d1,1,MFU-52193-1255-d1-1_S17_317,2.5
330,MV1-52193-1255-d1-1_S20,MV1,52193-1255,d1,1,MV1-52193-1255-d1-1_S20_330,2.5
314,MFU-52193-1257-d1-1_S45,MFU,52193-1257,d1,1,MFU-52193-1257-d1-1_S45_314,2.2
326,MV1-52193-1257-d1-1_S57,MV1,52193-1257,d1,1,MV1-52193-1257-d1-1_S57_326,2.2
327,MV1-52193-1257-d1-2_S57,MV1,52193-1257,d1,2,MV1-52193-1257-d1-2_S57_327,2.2
318,MFU-52193-126-d10-1_S69,MFU,52193-126,d10,1,MFU-52193-126-d10-1_S69_318,2.1
323,MV1-52193-126-d10-1_S69,MV1,52193-126,d10,1,MV1-52193-126-d10-1_S69_323,2.1
324,MV1-52193-126-d50-2_S28,MV1,52193-126,d50,2,MV1-52193-126-d50-2_S28_324,2.1
325,MV1-52193-126-d50-3_S28,MV1,52193-126,d50,3,MV1-52193-126-d50-3_S28_325,2.1
317,MFU-52193-1261-d5-1_S60,MFU,52193-1261,d5,1,MFU-52193-1261-d5-1_S60_317,2.5
330,MV1-52193-1261-d5-1_S80,MV1,52193-1261,d5,1,MV1-52193-1261-d5-1_S80_330,2.5
314,MFU-52193-1263-d5-1_S34,MFU,52193-1263,d5,1,MFU-52193-1263-d5-1_S34_314,2.2
326,MV1-52193-1263-d5-1_S43,MV1,52193-1263,d5,1,MV1-52193-1263-d5-1_S43_326,2.2
