"","Plate","Sample_name","primer","NWFSCsampleID","dilution","techRep","BestTaxon","Class","nReads","SampleUID","PopID","sample","station","Niskin","depth","drop.sample","field.negative.type","volume","Fluor","Zymo","date","year","month","day","transect","lat","lon","water.depth","bathy.bottom.depth","bottom.depth.consensus","utm.lon","utm.lat","transect.dist.km","control","Suborder","Family","common_name","Prey.family","Broad_taxa","distToBottom"
"1","315","MFU-52193-1499-d1-1","MFU","52193-1499","d1","1","Megaptera novaeangliae","Mammalia",165,"MFU-52193-1499-d1-1_315",52193,1499,"75-4","1",500,"",NA,2.5,"0.00687","","8/9/2019",2019,8,9,"75",46.72953,-124.8829967,528.11,606,528.11,823.7004543,1797.354341,46.67522217,"no","Mysticeti","Balaenopteridae","humpback whale","invert","Baleen whale",28.11
"2","315","MFU-52193-1637-d1-1","MFU","52193-1637","d1","1","Phocoenoides dalli","Mammalia",13,"MFU-52193-1637-d1-1_315",52193,1637,"79-4","1",446,"30EtOH",NA,2.5,"0.00314","","8/11/2019",2019,8,11,"79",47.39600167,-124.821575,468.39,873,468.39,830.4217025,1870.534415,22.20938481,"no","Odontoceti","Phocoenidae","Dall's porpoise","fish","Dolphin/Porpoise",22.39
"3","315","MFU-52193-1808-d1-1","MFU","52193-1808","d1","1","Megaptera novaeangliae","Mammalia",791,"MFU-52193-1808-d1-1_315",52193,1808,"83-8","1",500,"",NA,2.5,"0.00135","","8/15/2019",2019,8,15,"83",48.06278167,-125.6890883,561.17,682,561.17,767.01525,1945.531183,61.86958468,"no","Mysticeti","Balaenopteridae","humpback whale","invert","Baleen whale",61.17
"4","317","MFU-52193-1229-d1-1","MFU","52193-1229","d1","1","Balaenoptera physalus","Mammalia",1230,"MFU-52193-1229-d1-1_317",52193,1229,"67-4","1",485,"",NA,2.5,"0.00113","","7/31/2019",2019,7,31,"67",45.39651833,-124.70627,496.88,530,496.88,833.6501726,1650.318656,52.51659945,"no","Mysticeti","Balaenopteridae","fin whale","invert","Baleen whale",11.88
"5","325","MV1-52193-202-d1-3","MV1","52193-202","d1","3","Phocoenoides dalli","Mammalia",2085,"MV1-52193-202-d1-3_325",52193,202,"31-4","1",494,"",NA,2.5,"0.01536","","7/7/2019",2019,7,7,"31",39.39715167,-124.0178583,504.87,565,504.87,877.4840326,986.8032439,15.01734387,"no","Odontoceti","Phocoenidae","Dall's porpoise","fish","Dolphin/Porpoise",10.87
"6","328","MV1-52193-1808-d1-1","MV1","52193-1808","d1","1","Megaptera novaeangliae","Mammalia",1269,"MV1-52193-1808-d1-1_328",52193,1808,"83-8","1",500,"",NA,2.5,"0.00135","","8/15/2019",2019,8,15,"83",48.06278167,-125.6890883,561.17,682,561.17,767.01525,1945.531183,61.86958468,"no","Mysticeti","Balaenopteridae","humpback whale","invert","Baleen whale",61.17
"7","328","MV1-52193-32-d1-1","MV1","52193-32","d1","1","Balaenoptera acutorostrata","Mammalia",2607,"MV1-52193-32-d1-1_328",52193,32,"25-4","1",495,"",NA,2.5,"0.01474","","7/3/2019",2019,7,3,"25",38.39212,-123.6252383,506.13,566,506.13,910.209738,875.1600561,42.2627701,"no","Mysticeti","Balaenopteridae","minke whale","invert","Baleen whale",11.13
"8","330","MV1-52193-1696-d1-1","MV1","52193-1696","d1","1","Megaptera novaeangliae","Mammalia",989,"MV1-52193-1696-d1-1_330",52193,1696,"78-MT506","1",500,"30EtOH",NA,2.5,"","","8/13/2019",2019,8,13,"78",47.230795,-124.907885,583.43,359,583.43,823.3236326,1852.521738,33.32973484,"no","Mysticeti","Balaenopteridae","humpback whale","invert","Baleen whale",83.4299999999999
